Date,Open,High,Low,P/E Ratio,Google Trends,Price Change,Closing Price
2015-01-01,37369.49909937299,37733.8394067977,37269.40552378382,23.193024,66,,37400.37109375
2015-01-02,37566.439245077534,37812.61512479626,37400.02435038768,23.193024,85,0.5552668835275385,37608.04296875
2015-01-05,37713.15707597083,38787.46852979166,37418.73074719683,23.193024,77,0.7463496577932393,37888.73046875
2015-01-06,37763.3742815253,37763.3742815253,36778.67091042946,23.193024,0,-2.6439053911458457,36886.98828125
2015-01-07,36925.38716652164,37147.88009652822,36444.85198058968,23.193024,100,-0.21076834236835504,36809.2421875
2015-01-08,37211.948826498956,37615.67730013919,37135.6843024244,23.193024,72,1.8604681271666021,37494.06640625
2015-01-09,37812.61030703645,37900.74126074686,36926.37725296528,23.193024,64,-0.9697784472355574,37130.45703125
2015-01-12,37220.79676736861,37714.13307733584,37035.6725632292,23.193024,58,1.0268377007293856,37511.7265625
2015-01-13,37566.432486732396,37812.60832216314,37421.04257692597,23.193024,0,0.19860456136528973,37586.2265625
2015-01-14,37595.96779608203,37800.786059612285,37345.707018929745,23.193024,100,0.17092988476289,37650.47265625
2015-01-15,37872.04247110387,38204.52606643767,37429.71058548637,23.193024,90,0.22507602566825347,37735.21484375
2015-01-16,37812.60158190071,39264.10405333029,37556.578758689924,23.193024,90,2.1928704485355657,38562.69921875
2015-01-19,38329.56426573746,39338.88484049355,38329.56426573746,23.193024,0,0.853753693128206,38891.9296875
2015-01-20,39092.728537408235,39368.44551449827,38797.41749947422,23.193024,0,0.04333924514786266,38908.78515625
2015-01-21,38935.176535418235,39072.98502145833,38206.5459471715,23.193024,100,-1.545180439547664,38307.57421875
2015-01-22,38402.45621256742,38881.5645248868,38363.068068038,23.193024,87,0.6269668235281881,38547.75
2015-01-23,38945.03025193844,38993.2807318966,37832.31510188306,23.193024,96,-1.068804275217101,38135.75
2015-01-27,38408.34943277887,39634.30495242532,38207.9123212915,23.193024,0,3.140958614947916,39333.578125
2015-01-28,39436.38695447196,39690.44043481488,38897.26183630238,23.193024,0,-0.5383540383157044,39121.82421875
2015-01-29,39289.65575777226,39486.59638813703,38993.26010907328,23.193024,44,0.43277274802757054,39291.1328125
2015-01-30,39388.13083165666,39673.69478018617,39044.46939015045,23.193024,69,0.3393438206179233,39424.46484375
2015-02-02,39388.14313153854,39860.800849117004,39289.72277818828,23.193024,0,0.4529924361885461,39603.0546875
2015-02-03,39779.064680819145,40520.54636769334,39637.809742307145,23.193024,0,1.0073599515188914,40002.0
2015-02-04,40095.24982288114,40268.7455196119,39135.10886483702,23.193024,100,-1.2890859363281837,39486.33984375
2015-02-05,39578.70240840064,39695.02337687365,39085.81694876925,23.193024,56,-0.8168568580332815,39163.79296875
2015-02-06,39282.97851700208,39405.21413396841,37952.18752583639,23.193024,64,-2.244439942784366,38284.78515625
2015-02-09,38297.09842603397,38297.09842603397,36582.94298954167,23.193024,0,-3.9840606556231286,36759.49609375
2015-02-10,36962.474779343844,37754.04900720316,35014.59100070123,23.193024,0,-1.719336765765564,36127.4765625
2015-02-11,36669.68998108198,37506.60943574309,36473.521581226196,23.193024,100,3.3515003404827133,37338.2890625
2015-02-12,37745.17911994467,41072.10684996389,37459.30547291453,23.193024,100,7.59826593888939,40175.3515625
2015-02-13,40948.922207823605,41187.478759925034,39677.377894554935,23.193024,92,-0.4165431035237129,40008.00390625
2015-02-16,40170.18024932751,40879.93558134017,39988.7983311465,23.193024,35,1.0081576450181013,40411.34765625
2015-02-18,40612.78723116695,41106.65859704511,40091.660832169975,23.193024,0,1.1008665283430503,40856.22265625
2015-02-19,41093.83589978553,41093.83589978553,39756.14464553339,23.193024,80,-0.7888753941150144,40533.91796875
2015-02-20,40760.64496715929,40760.64496715929,40060.40099896346,23.193024,100,-0.4213388806423016,40363.1328125
2015-02-23,40366.34115679889,40572.36731865317,39844.868239952404,23.193024,59,-0.9646798275267053,39973.7578125
2015-02-24,40061.74183047792,40594.05828196557,39912.79026091452,23.193024,0,0.7988834862559244,40293.1015625
2015-02-25,40219.46119696389,40544.865779905704,40131.3810082174,23.193024,82,0.09198224649574592,40330.1640625
2015-02-26,40367.30863089048,40414.625622692256,38988.411858000385,23.193024,63,-2.6361704687151617,39266.9921875
2015-02-27,39478.14501253011,40860.195534592815,39430.82801890742,23.193024,64,3.431635388739947,40614.4921875
2015-03-02,40717.273918047475,41870.52594893921,40206.69456408349,23.193024,100,2.6345756739002684,41684.51171875
2015-03-03,41698.100971267355,41763.01551269148,41156.52008426188,23.193024,0,-0.7355006238734317,41377.921875
2015-03-04,40884.74592975786,41549.255600714554,40574.3282290306,23.193024,76,-1.5516181447911344,40735.89453125
2015-03-05,40858.22370450224,41343.222885707975,40618.04221529583,23.193024,73,0.750882998323135,41041.7734375
2015-03-09,40909.4990073939,40909.4990073939,40330.212184005875,23.193024,41,-1.3662623085815575,40481.03515625
2015-03-10,40834.53514782188,40956.524330887405,40563.54819172804,23.193024,0,0.47948764588356146,40675.13671875
2015-03-11,40761.631393163436,41327.46395470336,40615.54089915032,23.193024,0,0.45924092718265486,40861.93359375
2015-03-12,40958.77664423337,41254.50788354191,40839.498377712254,23.193024,58,0.4812604946822164,41058.5859375
2015-03-13,41189.44925314588,41244.652420821934,39529.411139458876,23.193024,91,-3.38476898197488,39668.84765625
2015-03-16,39726.572230895545,39923.087224617586,39133.23819235939,23.193024,38,-0.20002511022650904,39589.5
2015-03-17,39725.587363119725,40120.88155237035,39433.79913364794,23.193024,0,0.7438841106859142,39884.0
2015-03-18,40115.95863064777,40183.92678415534,39739.394035564655,23.193024,73,0.23581080445792799,39978.05078125
2015-03-19,40592.67745809313,40592.67745809313,39578.711711925665,23.193024,58,-0.6332185600672868,39724.90234375
2015-03-20,39825.152747586224,40017.131670793955,39132.20571762298,23.193024,57,-1.010592871383514,39323.4453125
2015-03-23,39430.8386214532,39624.19605607602,37523.421861822244,23.193024,0,-3.557584623200099,37924.48046875
2015-03-24,37962.04089703094,38444.08291205686,37052.07415416576,23.193024,0,-1.9700026790495544,37177.3671875
2015-03-25,37469.16181426972,37469.16181426972,36818.552848276086,23.193024,53,-0.27322570876980556,37075.7890625
2015-03-26,36867.82479374437,37014.7046304895,36476.77032067778,23.193024,78,-1.2242869915319148,36621.875
2015-03-27,37459.298532606,37459.298532606,36383.133086738395,23.193024,73,1.376589299428279,37126.0078125
2015-03-30,37424.80227311275,38578.05441859046,37311.43858915626,23.193024,0,3.1005050578382867,38277.1015625
2015-03-31,38444.09518802407,38888.678047322996,38002.96252829842,23.193024,0,-0.20331795139432457,38199.27734375
2015-04-01,38297.20825130508,39096.07563167753,37858.83660163554,23.193024,80,2.0808537465174153,38994.1484375
2015-04-06,39417.03605241816,39509.69851900465,38953.823836844895,23.193024,0,0.8452189641434581,39323.734375
2015-04-07,39282.97424101806,40173.81472111303,38984.58213027948,23.193024,0,1.8070352709221809,40034.328125
