Open,High,Low,P/E Ratio,Google Trends,Price Change
139500.0,139500.0,136486.34375,22.863602,97,-1.4057565744669498
137000.0,137312.84375,133390.0,22.863602,100,-1.7793869778781417
135400.0,135490.0,134400.0,22.863602,97,0.3067668648544976
135450.0,136078.703125,134000.0,22.863602,55,-0.4733269898593646
134750.0,134798.0,134040.0,22.863602,41,0.1667346646025101
134398.0,135459.796875,134055.453125,22.863602,90,0.6754299987352979
136250.0,136666.0,135500.0,22.863602,95,0.5100149845478346
136350.0,136700.0,134042.453125,22.863602,97,-1.291266929455328
135000.0,135000.0,132600.0,22.863602,50,-0.2096317240891325
134850.0,136359.90625,134255.65625,22.863602,43,1.3286451089983002
136220.0,136650.0,135141.796875,22.863602,94,-0.3045484187214468
135798.0,136476.09375,135500.0,22.863602,100,0.4553493183729057
136400.0,137599.953125,135800.046875,22.863602,94,1.02359524426817
137800.0,138509.0,136100.0,22.863602,57,-0.6748645407798488
137050.0,137264.34375,135052.953125,22.863602,44,-0.8853063359892104
135690.0,135690.0,133300.0,22.863602,89,-0.7221607415459319
134700.0,136850.0,134122.953125,22.863602,100,1.5679739576161786
136500.0,136818.296875,135100.046875,22.863602,96,-0.303039818038593
136050.0,137500.0,136050.0,22.863602,46,0.9566309670036168
137210.0,137999.953125,136750.0,22.863602,44,0.4213239922864862
137348.0,139855.65625,137300.15625,22.863602,88,0.9746223142954584
139250.0,139500.0,137697.046875,22.863602,92,-0.2184596127057799
138700.0,142383.90625,138377.0,22.863602,95,1.5280641347620412
141000.0,141884.84375,138200.046875,22.863602,55,-1.7451811228363403
139600.0,140447.09375,138950.203125,22.863602,48,1.2628718693576468
138000.0,139894.5,135924.40625,22.863602,100,-2.964834118428941
136600.0,136782.796875,133000.0,22.863602,91,-1.980534695462282
135377.0,135500.0,130555.0,22.863602,39,-1.6272592689759855
131600.0,132583.84375,130850.1015625,22.863602,35,0.687575587357972
133800.0,133990.0,132450.84375,22.863602,92,0.3353209239286917
133600.0,133690.0,132000.0,22.863602,100,-0.2781977509186147
132400.0,132417.90625,131151.203125,22.863602,81,-0.0127515370683873
132197.59375,132900.0,131251.203125,22.863602,46,-0.2150545005665052
131914.0,132499.953125,130850.0,22.863602,39,-0.6716888259108641
131000.25,131278.09375,129530.046875,22.863602,87,-0.4071314363996802
130421.0,130949.8984375,129400.0,22.863602,66,-0.5226661276883012
129800.0,129950.0,128618.0,22.863602,93,-0.2827953266942322
130100.0,132000.0,128051.046875,22.863602,87,-0.9283468470928844
128990.0,128990.0,126100.0,22.863602,58,-1.431426117590038
126100.0,126755.0,124988.3984375,22.863602,82,-0.7225035549780571
125600.0,125999.8515625,123950.0,22.863602,54,-1.0859088952617613
124131.203125,124862.296875,121875.046875,22.863602,60,-1.111248594449648
122900.0,124298.0,122819.296875,22.863602,33,0.2762943261395741
123399.0,123400.0,120750.0,22.863602,30,-0.4737160186808002
122200.0,123163.3984375,121300.046875,22.863602,57,-0.4232381789304958
122100.0,122972.75,121503.0,22.863602,100,0.4386461241462097
1.0,22.0,500.0,22.863602,64,-99.9991838363898
123750.0,123830.296875,120500.0,22.863602,46,12087575.0
120801.0,121243.8984375,118000.0,22.863602,41,-1.1140285973108974
119845.0,121840.796875,119845.0,22.772741,100,-1.1140285973108974
121896.97833406342,122330.61602225488,120228.1212653375,27.118317,4,-0.48
120996.9982359506,121246.44517252562,117398.13439366224,27.118317,73,-1.38
120098.01841415884,125150.93984396671,120047.01968026716,27.118317,78,3.09
123696.93113406384,124104.62414438128,120714.1066991136,27.118317,14,-1.72
120897.00531334829,121656.93961434926,119922.32633169348,27.118317,50,-0.36
120397.01157905217,121897.9743230734,120280.01448308249,27.118317,1,0.06
119085.14557169678,121171.64065467648,119021.19403413367,27.118317,15,0.26
120900.0,124194.546875,120570.8515625,27.118317,64,1.73
123100.0,124099.953125,121751.046875,27.118317,4,0.45
123662.0,124742.8,122538.1,27.118317,62,1087.1000000000058
